feat	codeword	expressed
LSS	10101000000100	1
FAM129A	01010100010000	1
MON2	00000001101001	1
TMEM194A	00000010101001	1
EXOC2	00110000110000	1
MCM2	10001100000001	1
UPF2	00001101000001	1
LPHN3	01000101000010	1
KANK1	00001100100100	1
HERC1	01000110010000	1
EPHA2	00100100001100	1
TBC1D16	00000001101100	1
MIB1	01011000000100	1
SNX30	00000011100010	1
MAFG	00101001000100	1
RASGRF2	10000110000100	1
MAP7D3	01001001000100	1
SMG1	01001001000001	1
USP19	00000110100100	1
STXBP1	10010001000100	1
PRDM4	10100001000001	1
URGCP	00100101000010	1
FBXO42	00100001001001	1
TADA2B	10000010001010	1
PHF13	00000110110000	1
TUBGCP5	00011010000001	1
ANKFY1	10101000000001	1
CTCF	10010001010000	1
CUL7	01000010100100	1
NUP155	00100110000010	1
C11orf30	01000100100010	1
TCOF1	00010010100100	1
LARS2	01010000011000	1
RIPK1	11100000010000	1
blank004	00000110001010	0
CEP250	10000010100001	1
ZNF317	10000100100100	1
LEMD3	00100000101010	1
AGO1	00001010001100	1
TIMELESS	01100001000100	1
MORC2	10011000010000	1
LIG4	00110000100100	1
PIKFYVE	10000100110000	1
MLLT11	10000000101010	1
SETD2	10100100000010	1
YTHDC2	00101000011000	1
TECPR2	10001000100100	1
HEXIM1	00100001001100	1
USP24	00001100100010	1
AGPS	10001000001100	1
EEF2K	01001000001010	1
WWC3	10100000100001	1
ASPM	00001001011000	1
RC3H1	01000001110000	1
KIF13A	01000001001100	1
NPR2	00100100100100	1
CEP192	00000101100001	1
NOL9	01010001010000	1
SFXN5	11000100010000	1
ARHGEF9	00100011000001	1
SPRY4	01000100001100	1
ULK2	01010100000100	1
MTMR4	00001010100010	1
CABIN1	00110001000010	1
KREMEN1	00100110000001	1
WDHD1	00001110000100	1
TSPYL5	01010000100010	1
USP38	10000010001001	1
NRDE2	11100000000001	1
PPRC1	00001010100001	1
notarget002	10100000011000	0
RCOR1	11000100000001	1
ETV3	00100101000100	1
TOX	10100000001010	1
INTS1	01001100000100	1
PARP14	00000110001001	1
VAT1L	01110000010000	1
MECOM	01010010010000	1
IFT122	00011100000001	1
SOCS4	01001010000100	1
ZNF512B	10000010110000	1
C12orf4	11001000010000	1
PAPD7	00100011010000	1
SLC35B4	00010011010000	1
SIN3B	00101001010000	1
TMEM57	01001010000001	1
TBC1D8B	00100100011000	1
LRRC58	00010110010000	1
ZNF45	00001101000010	1
FMNL2	00001010011000	1
RAPGEF6	00100010001001	1
FOXK1	10000100001010	1
MYBBP1A	11100000000010	1
PCMTD2	00010100001100	1
ITSN2	10100010000001	1
RPAP1	01110000000100	1
FTSJD2	10000011000010	1
SCAF8	10011000000100	1
FAM53C	00110000001100	1
UBR3	11000001010000	1
KIAA0355	01000100001001	1
ZNF25	10000001001001	1
HIRA	00011000001100	1
ARHGEF11	00001000101010	1
SKIV2L	10000100100010	1
